created_at,entry_id,field1,latitude,longitude,elevation,status
2024-04-20T10:17:35+00:00,1,177,,,,
2024-04-20T10:17:51+00:00,2,178,,,,
2024-04-20T10:18:08+00:00,3,163,,,,
2024-04-20T10:18:24+00:00,4,168,,,,
2024-04-20T10:18:41+00:00,5,144,,,,
2024-04-20T10:18:57+00:00,6,207,,,,
2024-04-20T10:19:13+00:00,7,200,,,,
2024-04-20T10:19:30+00:00,8,187,,,,
2024-04-20T10:19:46+00:00,9,200,,,,
2024-04-20T10:20:02+00:00,10,180,,,,
2024-04-20T10:20:18+00:00,11,218,,,,
2024-04-20T10:20:34+00:00,12,213,,,,
2024-04-20T10:20:51+00:00,13,223,,,,
2024-04-20T10:21:07+00:00,14,207,,,,
2024-04-20T10:21:23+00:00,15,219,,,,
2024-04-20T10:21:40+00:00,16,194,,,,
2024-04-20T10:21:56+00:00,17,204,,,,
2024-04-20T10:22:12+00:00,18,175,,,,
2024-04-20T10:22:29+00:00,19,198,,,,
2024-04-20T10:22:45+00:00,20,144,,,,
2024-04-20T10:23:02+00:00,21,182,,,,
2024-04-20T10:23:19+00:00,22,188,,,,
2024-04-20T10:23:35+00:00,23,185,,,,
2024-04-20T10:23:52+00:00,24,161,,,,
2024-04-20T10:24:08+00:00,25,199,,,,
2024-04-20T10:24:24+00:00,26,206,,,,
2024-04-20T10:24:42+00:00,27,156,,,,
2024-04-20T10:24:58+00:00,28,168,,,,
2024-04-20T10:25:15+00:00,29,174,,,,
2024-04-20T10:25:32+00:00,30,154,,,,
2024-04-20T10:25:48+00:00,31,183,,,,
2024-04-20T10:26:07+00:00,32,162,,,,
2024-04-20T10:26:23+00:00,33,135,,,,
2024-04-20T10:26:40+00:00,34,165,,,,
2024-04-20T10:26:56+00:00,35,161,,,,
2024-04-20T10:27:13+00:00,36,148,,,,
2024-04-20T10:27:29+00:00,37,181,,,,
2024-04-20T10:27:46+00:00,38,170,,,,
2024-04-20T10:28:03+00:00,39,174,,,,
2024-04-20T10:28:20+00:00,40,182,,,,
2024-04-20T10:28:36+00:00,41,184,,,,
2024-04-20T10:28:52+00:00,42,171,,,,
2024-04-20T10:29:09+00:00,43,570,,,,
2024-04-20T10:29:25+00:00,44,177,,,,
2024-04-20T10:29:41+00:00,45,171,,,,
2024-04-20T10:29:58+00:00,46,457,,,,
2024-04-20T10:30:15+00:00,47,400,,,,
2024-04-20T10:30:31+00:00,48,193,,,,
2024-04-20T10:30:47+00:00,49,178,,,,
2024-04-20T10:31:04+00:00,50,164,,,,
2024-04-20T10:31:20+00:00,51,175,,,,
2024-04-20T10:31:37+00:00,52,190,,,,
2024-04-20T10:31:53+00:00,53,175,,,,
2024-04-20T10:32:09+00:00,54,183,,,,
2024-04-20T10:32:25+00:00,55,178,,,,
2024-04-20T10:32:42+00:00,56,178,,,,
2024-04-20T10:32:58+00:00,57,176,,,,
2024-04-20T10:33:14+00:00,58,194,,,,
2024-04-20T10:33:31+00:00,59,187,,,,
2024-04-20T10:33:47+00:00,60,181,,,,
2024-04-20T10:34:03+00:00,61,186,,,,
2024-04-20T10:34:20+00:00,62,185,,,,
2024-04-20T10:34:37+00:00,63,181,,,,
2024-04-20T10:34:53+00:00,64,163,,,,
2024-04-20T10:35:10+00:00,65,174,,,,
2024-04-20T10:35:26+00:00,66,169,,,,
2024-04-20T10:35:43+00:00,67,177,,,,
2024-04-20T10:35:59+00:00,68,160,,,,
